Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Education Counsellor,Indian School Of Business Management And Administration,"Pune, Chennai, Andheri,  Bhayander",0-1 Yrs,"['counselling', 'Communication Skills', 'Telesales', 'Admission Counsellor', 'Outbound sales', 'Telemarketing', 'Admission counselling', 'Outbound']"
Education Counsellor,Beyond Immigration,"Noida, Uttar Pradesh(Sector-62 Noida)",0-3 Yrs,"['Student Counseling', 'Overseas Education', 'Admission Counselling', 'Educational Sales', 'Application Processing', 'Admissions', 'Visa Processing', 'Business Development']"
Education Counsellor,Crack-ED,"Mumbai, Maharashtra, Gurugram, Haryana, Bengaluru",0-2 Yrs,"['Communication Skills', 'Convincing Ability', 'Telesales', 'Education Counseling', 'Business Development Management', 'Student Counseling', 'Development', 'Development management']"
Education Counsellor,Cheerons,Bangalore/Bengaluru,0-1 Yrs,"['Education Counsellor', 'Brand building', 'Counselling', 'Branding', 'Building', 'Brand', 'Education counseling', 'Education']"
Education Counsellor / Assistant Counsellor,ILW,"Mumbai, Mumbai Suburban",0-2 Yrs,"['Counsellor', 'UPS', 'MS Word', 'Swift', 'Overseas education', 'Education Counsellor', 'Counselling', 'Microsoft']"
"Education Counsellor, Mumbai suburban",Itelligence Infotech,"Mumbai, Maharashtra, Mumbai Suburban, Maharashtra",1-3 Yrs,"['Communication Skills', 'Convincing Power', 'Career Counselling', 'Student Counseling', 'Presentation Skills', 'Education counseling', 'Counselling', 'Presentation']"
"Education Counsellor-  Thane, Virar, Borivali, Mumbai",CL Educate,Mumbai (All Areas),1-3 Yrs,"['education counseling', 'sales', 'Counselling', 'communication skills', 'Education']"
Hiring For Education Counsellor _ Noida,Aptron Solutions,,,"['Admission Counselling', 'sales', 'Educational Sales', 'Bde', 'business development', 'Education Counseling', 'Education Industry', 'Career Counselling']"
Medical Education Counsellor,Medicoll Learning Pvt. Ltd.,"Noida, Uttar Pradesh",1-5 Yrs,"['BDS', 'Education Counsellor', 'Medical Counselor', 'counsellor', 'Engagement Officers', 'Medical', 'Education counseling', 'Counselling']"
Education Counsellor,Take One School Of Mass Communication,"New Delhi, Delhi(East of Kailash)",2-6 Yrs,"['Education Counselling', 'Admission Counselling', 'Communication Skills', 'Career Counselling', 'inbound calling', 'Outbound Calling', 'Admissions', 'Education counseling']"
"Hiring For TeleSales Executive, Tele Caller - Education Counsellor",Smart Pixel Insights,"Noida, Uttar Pradesh(Sector-2 Noida)",2-4 Yrs,"['Educational Sales', 'Calling', 'Sales Lead Generation', 'Education Counseling', 'Career Counselling', 'Lead Generation', 'Cold Calling', 'Sales']"
Educational Counselor - (Education Industry ),Siec Education,"New Delhi, Delhi(B 2B Block Janakpuri)",0-2 Yrs,"['Councellor', 'Counselling', 'Admission Counselling', 'Education Counseling', 'Visa Counselling', 'MS Office', 'Computer Skills', 'English Language']"
Professor / Associate Professor / Asst. Professor Education,LPU,"Phagwara, Punjab",0-5 Yrs,"['Professor Activities', 'University Teaching', 'Education', 'Associate Professor', 'Assistant Professor', 'Teaching', 'Assistance']"
Education Counsellor,Talent Corner Hr Services,"Gurugram, Haryana",0-4 Yrs,"['academic counseling', 'good english', 'Educational knowledge', 'Communication Skills', 'Education', 'Academics', 'Education counseling', 'English']"
Education Counsellor,KC Global Edutech Private Limited,Delhi / NCR(Satya Niketan),0-2 Yrs,"['Communication Skills', 'Student Counseling', 'English', 'Administration', 'Selling Skills', 'Convincing Power', 'Education Counseling', 'Career Counselling']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Futuresoft,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor,UNext Learning,"Bengaluru, Karnataka",0-4 Yrs,"['Admission Counselling', 'Education Counseling', 'Student Counseling', 'Educational Sales', 'Career Counselling', 'Admission Counselor', 'Career development', 'Sales']"
Education Counsellor,Primohunt Corporate,Pune,0-3 Yrs,"['Counsellor', 'Office management', 'Education Counsellor', 'management', 'education', 'education counseling', 'office', 'counselling']"
Senior Counsellor - Overseas Education,Mantras2Success Consultants,Ahmedabad,0-8 Yrs,"['Tally', 'Manager Client Servicing', 'ERP', 'TDS', 'Marketing analytics', 'MIS', 'Overseas education', 'SEO']"
Education Counselor,Analytics Training Hub,"New Delhi, Mohan Estate",1-3 Yrs,"['Sales', 'Education Counseling', 'Counselor', 'Academic Counselor', 'Business Development Executive', 'Education Counselor', 'Sales Executive', 'Academics']"
Student Counsellor || Education Counsellor | Telecaller | Noida,O A Compserve,"Noida, New Delhi, Delhi / NCR",1-5 Yrs,"['education counselor', 'Student Counseling', 'Educational Marketing', 'Educational Sales', 'Education Industry', 'Bba', 'Admission Counselling', 'Bca']"
Education Counsellor @ New Delhi,Prompt Career Consultants,"New Delhi, Delhi(Tilak Nagar)",2-4 Yrs,"['Admission Counselling', 'Overseas Education', 'Student Counseling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Admissions', 'Career development']"
Education Counsellor,client of Placement Pandits,Gurgaon/Gurugram,1-3 Yrs,"['Student Counseling', 'counselling', 'Admission Counselling', 'Career Counselling', 'Education counseling', 'Admissions', 'Education', 'Career development']"
Education Counsellor,Deccan Management Consultants Finishing Schools Skill Foundation,Pune(Deccan Gymkhana +1),1-3 Yrs,"['Admission Counselling', 'Education Counseling', 'Student Counseling', 'Educational Marketing', 'Educational Sales', 'Admissions', 'Enrollment', 'Institutional Sales']"
Counsellor In Education,Our client,Lucknow,1-4 Yrs,"['excel', 'Admission Counselling', 'Student Counseling', 'costomer care', 'Education Counseling', 'Education', 'Counselling', 'Admissions']"
Education Counsellor,Gegnat Yards,"Gurugram, Haryana",1-4 Yrs,"['Education Counseling', 'Career Counselling', 'Sales', 'Telesales', 'Inside Sales', 'Education', 'Career development', 'Counselling']"
DP Spanish Teacher,Education / Training,Hyderabad/Secunderabad,2-5 Yrs,"['Teaching', 'Spanish Teacher', 'Spanish']"
Urgent Requirement || Education Counselor || Bangalore,Parth Associates,"Mysore/ Mysuru, Karnataka, Bangalore/ Bengaluru, Karnataka",0-3 Yrs,"['Educational Sales', 'Admission Counselling', 'Edtech', 'Negotiation', 'Bde', 'B2C Sales', 'Inside Sales', 'Career Counselling']"
Physical Education Teacher (Female),Lakshmipat Singhania Academy Bissau (Rajasthan),"Jhunjhunun, Rajasthan, Churu, Rajasthan, Jaipur, Rajasthan",3-6 Yrs,"['P.E.T', 'Volleyball', 'Physical Education teacher', 'Physical Education', 'Football', 'Athletics', 'Physical Training', 'Basketball']"
Overseas Education counsellor,IDP,Hyderabad/Secunderabad,2-3 Yrs,"['Client Support', 'Canada', 'Communication Skills', 'Education Counsellor', 'Education Industry', 'Overseas Education', 'Counselling', 'education counseling']"
"Required Principal in Renowned CBSE School, Haldwani",Education Recruitment For Group Of Schools,"Haldwani, Uttarakhand",3-7 Yrs,"['Communication Skills', 'Administration Management', 'Academic Administration', 'Leadership Skills', 'Interpersonal Skills', 'Teaching', 'Academics', 'Leadership']"
